Rotator
v0.2
Gurguff-BM
{F12},	TrHeart,	4,	1062228,	2499363,	534602,		2320501
{F5},	BeastW,		1,	8150632,	10066329,	3743524,	10233897
{F6},	MirrorT,	4,	0,		10066329,	2245411,	1919774
4,	Barrage,	1,	6138061,	1403551,	10074557,	7384542
4,	Barrage,	2,	6072269,	1337500,	10074557,	7384542
4,	Barrage,	3,	6006733,	1337242,	10074557,	7384542
5,	Stampede,	4,	4864000,	6382177,	5726535,	16776960
2,	Focus,		1,	8084736,	7623168,	9861169,	14733462
{F4},	KillShS,	2,	0,		10066329,	14296615,	5924211
{F4},	KillShM,	3,	0,		10066329,	14362151,	5924211
4,	GlaiveS,	2,	9149083,	257,		8638689,	4800539
4,	GlaiveM,	3,	9214876,	257,		8638689,	4800539
6,	KillCmd,	2,	7538696,	2099200,	65792,		2164744
6,	KillCmd,	3,	7538696,	2099200,	65792,		2164744
3,	Cobra,		2,	5341205,	2237723,	7195139,	8492688
3,	Cobra,		3,	5341461,	2369309,	7195139,	8558480
7,	NN,		3,	2162721,	2031647,	11363691,	0
5,	Crows,		1,	5404044,	1053720,	6931153,	2169889
1,	ArcaneS,	2,	1441853,	1120537,	984627,		11243342
1,	ArcaneM,	3,	1441853,	1120537,	919091,		11308878
